117, 359
139, 345
161, 333
185, 318
208, 302
206, 263
183, 247
161, 237
137, 224
114, 210
91, 197
103, 171
117, 145
140, 154
165, 167
188, 182
212, 195
234, 208
266, 191
267, 163
266, 85
268, 57
296, 58
324, 59
327, 81
328, 107
325, 134
328, 164
326, 188
367, 209
368, 209
390, 198
411, 182
434, 167
459, 155
481, 142
496, 166
511, 189
490, 203
467, 219
445, 231
422, 244
396, 258
400, 303
424, 319
450, 333
470, 345
492, 361
513, 374
498, 401
483, 428
460, 415
436, 397
413, 384
393, 371
371, 351
330, 377
331, 402
330, 430
331, 457
332, 483
333, 503
306, 507
275, 507
270, 484
272, 404
273, 376
237, 350
217, 370
193, 383
172, 396
146, 410
124, 425
108, 399
95, 373
119, 360
